epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3749,2.10131,2.13323,2.11692,0.64127,0.57324,0.62084,0.29739,1.84226,1.57625,1.80159,0.000474473,0.000474473,0.000474473
2,114.67,1.5786,1.47633,1.69842,0.75029,0.58369,0.67482,0.39866,1.49687,1.29639,1.60369,0.000919429,0.000919429,0.000919429
3,173.462,1.48875,1.32611,1.60996,0.81495,0.66947,0.76212,0.42251,1.55532,1.18292,1.58226,0.00133295,0.00133295,0.00133295
4,227.595,1.45153,1.25983,1.57701,0.77241,0.71591,0.78283,0.43366,1.53784,1.25001,1.58588,0.00128753,0.00128753,0.00128753
5,281.354,1.39118,1.18606,1.53812,0.81388,0.73644,0.81695,0.50003,1.33387,1.11185,1.44853,0.00124037,0.00124037,0.00124037
6,335.005,1.36788,1.14454,1.5247,0.82707,0.73204,0.81354,0.51943,1.28014,1.06035,1.39833,0.00119322,0.00119322,0.00119322
7,389,1.32965,1.08408,1.48409,0.83799,0.7271,0.82034,0.52579,1.29259,0.97607,1.40871,0.00114606,0.00114606,0.00114606
8,444.279,1.31564,1.06255,1.47679,0.83212,0.75947,0.8358,0.52531,1.34228,0.96213,1.43339,0.0010989,0.0010989,0.0010989
9,500.29,1.30109,1.02424,1.45866,0.83573,0.76195,0.84588,0.52821,1.33127,0.93786,1.40529,0.00105174,0.00105174,0.00105174
10,555.657,1.28722,1.00323,1.45211,0.84343,0.78554,0.85539,0.53679,1.27381,0.91945,1.37662,0.00100459,0.00100459,0.00100459
11,610.69,1.27227,0.99151,1.44354,0.85457,0.78009,0.85875,0.56077,1.21393,0.91362,1.35925,0.00095743,0.00095743,0.00095743
12,665.86,1.25743,0.95741,1.42606,0.84112,0.79166,0.84772,0.53518,1.27685,0.88479,1.38972,0.000910273,0.000910273,0.000910273
13,721.288,1.24479,0.9512,1.42406,0.85161,0.77809,0.85037,0.54643,1.24097,0.90898,1.37542,0.000863116,0.000863116,0.000863116
14,775.392,1.22253,0.9289,1.41107,0.86896,0.78082,0.85819,0.55934,1.25193,0.87596,1.36555,0.000815959,0.000815959,0.000815959
15,828.855,1.21672,0.91057,1.40364,0.88422,0.75418,0.85203,0.5494,1.24827,0.87485,1.36385,0.000768802,0.000768802,0.000768802
16,882.731,1.21126,0.90237,1.40081,0.89058,0.75569,0.85222,0.55533,1.23086,0.84546,1.35844,0.000721645,0.000721645,0.000721645
17,937.17,1.19689,0.8824,1.38613,0.83632,0.81714,0.87311,0.57981,1.19632,0.84658,1.33623,0.000674488,0.000674488,0.000674488
18,992.649,1.1871,0.87463,1.37775,0.87785,0.81217,0.87669,0.59686,1.17778,0.8043,1.31732,0.000627331,0.000627331,0.000627331
19,1047.33,1.17324,0.85404,1.36692,0.83703,0.81862,0.86835,0.58756,1.16184,0.8119,1.31406,0.000580174,0.000580174,0.000580174
20,1101.57,1.17118,0.84945,1.37264,0.87202,0.8086,0.87851,0.58418,1.22188,0.79499,1.3308,0.000533017,0.000533017,0.000533017
21,1188.66,1.15886,0.72652,1.39436,0.86032,0.80357,0.87545,0.58819,1.18407,0.80655,1.31245,0.00048586,0.00048586,0.00048586
22,1241.05,1.13888,0.69657,1.37055,0.87565,0.80188,0.87864,0.59204,1.16509,0.79676,1.30566,0.000438703,0.000438703,0.000438703
23,1294.05,1.12088,0.67832,1.35741,0.88994,0.79647,0.88426,0.60487,1.16451,0.77702,1.30643,0.000391546,0.000391546,0.000391546
24,1348.46,1.09804,0.66006,1.34712,0.89066,0.81524,0.88333,0.59888,1.15662,0.76454,1.31098,0.000344389,0.000344389,0.000344389
25,1402.74,1.08478,0.65343,1.33782,0.86177,0.81482,0.88227,0.60066,1.1564,0.77221,1.30562,0.000297232,0.000297232,0.000297232
26,1456.87,1.07107,0.63757,1.32697,0.88795,0.81224,0.89695,0.61629,1.12507,0.74062,1.28897,0.000250075,0.000250075,0.000250075
27,1510.51,1.04933,0.62916,1.30971,0.85652,0.82604,0.88675,0.61073,1.13138,0.74993,1.29138,0.000202918,0.000202918,0.000202918
28,1564.12,1.05072,0.61885,1.31557,0.88153,0.81862,0.8849,0.60882,1.12795,0.74319,1.29311,0.000155761,0.000155761,0.000155761
29,1617.91,1.02868,0.60977,1.29939,0.8938,0.82021,0.88867,0.61085,1.13399,0.74077,1.29656,0.000108604,0.000108604,0.000108604
30,1670.71,1.02776,0.60578,1.29804,0.88307,0.82664,0.88772,0.61253,1.12801,0.73706,1.2916,6.1447e-05,6.1447e-05,6.1447e-05
